JPM,WFC,BAC,C,GS,USB,MS,KEY,PNC,COF,AXP,PRU,SCHW,BBT,STI,KR,PFE,XOM,WMT,DAL,CSCO,HCP,EQIX,DUK,NFLX,GE,APA,F,REGN,CMS
38.990002,31.209999,32.630001,191.100006,165.320007,32.369999,41.299999,12.6,73.440002,44.919998,40.630001,77.440002,24.18,30.82,43.560001,13.9,19.17,77.32,59.650002,9.17,23.75,32.896175,80.949997,52.02,4.405715,28.530001,106.339996,4.51,20.58,13.61
39.709999,31.01,32.959999,196.100006,167.610001,32.950001,42.169998,12.71,74.120003,45.66,40.91,79.5,24.209999,31.17,45,13.895,19.200001,78.019997,59.790001,9.11,23.309999,32.777779,80.150002,51.360001,4.415714,28.57,107.480003,4.57,21.799999,13.45
37.91,29.67,30.6,183,160.899994,31.65,40.34,11.92,72.75,43.330002,38.75,76.959999,23.559999,30.030001,43.560001,13.625,18.67,76.139999,59.779999,8.96,22.280001,31.457195,77.5,51.869999,4.267143,27.700001,110.029999,4.39,20.379999,13.47
39.599998,31.200001,32.23,190.699997,163.240005,32.740002,41.360001,12.97,74.290001,44.709999,39.400002,78.739998,24.09,31.82,45.419998,13.435,18.51,75.620003,60.740002,8.81,22.26,31.238615,77.489998,51.93,4.237143,27.879999,111.43,4.41,19.07,13.34
41.549999,33.560001,34.73,203.199997,169.729996,33.939999,43.27,13.74,76.779999,48.73,40.52,84.919998,25.219999,34.27,50.93,13.65,19.139999,76.769997,62,8.59,23.370001,32.012749,77.510002,53.610001,4.307143,29.09,109.769997,4.55,18.9,13.75
39.470001,31.17,32.52,188.800003,161.669998,32.060001,40.400002,13.15,72.849998,45.5,38.240002,79.800003,23.49,31.99,47.580002,13.975,18.24,73.260002,61.130001,8.23,22.969999,30.819672,74.080002,54.299999,4.105714,28.120001,100.550003,4.4,18.52,13.42
39.400002,31.700001,32.400002,186.800003,157.589996,31.85,38.919998,12.56,70.860001,45.580002,38.16,79.779999,23.790001,31.43,45.25,13.99,18.200001,75.25,62.02,7.87,22.99,31.2204,72.669998,53.610001,4.107143,28.09,105.360001,4.47,19.43,13.55
41.650002,33.849998,33.060001,186.100006,157.029999,33.639999,38.709999,12.8,73.019997,46.34,38.759998,82.260002,24.5,32.849998,45.950001,14.1,18.389999,75.559998,63.169998,8.09,23.049999,31.848816,76.089996,54.66,4.118571,28.16,109.010002,4.68,20.58,13.59
41.169998,34.290001,33.740002,179.600006,154.210007,33.830002,37.23,13.37,72.970001,45.939999,38.950001,80.589996,23.969999,34.049999,47.310001,13.945,18.620001,77.5,62.41,8.13,23.459999,32.12204,76.93,54.900002,4.207143,26.75,112.389999,4.91,20.709999,13.79
37,31,26.549999,152.399994,135.5,33.02,32.189999,12.39,70.419998,44.700001,35.48,72.540001,22.700001,32.450001,45.900002,13.295,18.049999,73.25,61.630001,8.05,22.379999,30.528233,72.25,53.580002,4.015714,24.6,104.389999,4.74,20.450001,13.24
